customer_type,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,city,resort,adults,children,babies,guests
Group,2016,November,17,11,6,39,10,29,116.82352941176471,0.7647058823529411,17,0,0,14,1,0,2,1,4,11,6,0,40.75897435897436,7,3,1,2,2,12,3,2,0,11,5,10,10,7,19,0.0,0,19.0
Transient,2016,March,3755,2420,1335,12304,3221,9083,55.83675099866844,0.1685752330226365,3254,501,0,3030,300,50,375,317,1744,2420,1269,66,80.25557867360229,2010,771,330,437,173,3056,525,168,6,170,211,725,2400,1355,6969,402.0,31,7402.0
Contract,2016,December,1,1,0,2,1,1,362.0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0.0,0,2.0
Contract,2015,December,174,119,55,598,192,406,59.804597701149426,0.1206896551724138,174,0,0,145,2,0,27,21,194,119,53,2,90.6369397993311,154,20,0,0,0,174,0,0,0,4,42,1,167,7,340,18.0,1,359.0
Transient-Party,2017,May,877,682,195,2671,636,2035,152.2770809578107,0.48004561003420754,871,2,4,672,167,4,34,38,375,682,191,4,98.6062560838637,160,162,486,40,27,694,92,91,0,8,9,37,571,306,1510,19.0,1,1530.0
Transient-Party,2015,October,1838,1361,477,5165,1333,3832,131.83460282916212,0.19477693144722524,1613,223,2,1279,539,13,7,33,202,1361,477,0,75.58397289448233,54,1022,674,33,54,1579,106,153,0,47,294,10,1478,360,3150,16.0,11,3177.0
Contract,2016,September,107,98,9,1094,314,780,263.5420560747664,0.2616822429906542,107,0,0,68,37,1,1,1,63,98,9,0,69.16763254113346,3,104,0,0,0,107,0,0,0,1,0,1,3,104,209,0.0,2,211.0
Transient-Party,2016,October,1605,1129,476,5335,1431,3904,199.0423676012461,0.4965732087227414,1586,6,13,1319,253,0,33,101,512,1129,467,9,78.2917038425492,217,624,678,34,51,1088,119,398,0,12,1,50,894,711,2719,43.0,7,2769.0
Transient-Party,2017,June,643,529,114,1897,627,1270,209.58320373250388,0.2939346811819596,642,1,0,478,130,0,35,18,385,529,114,0,115.44093832366877,168,161,212,38,64,551,41,51,0,2,0,2,508,135,1192,49.0,5,1246.0
Group,2017,June,33,32,1,104,34,70,111.45454545454545,0.18181818181818182,33,0,0,26,2,0,5,5,31,32,0,1,101.70471153846155,7,14,0,11,1,29,3,1,0,11,0,23,17,16,57,0.0,0,57.0
Transient-Party,2017,February,712,566,146,1872,403,1469,58.70365168539326,0.30337078651685395,712,0,0,606,44,0,62,31,243,566,107,39,64.07833867521369,114,12,417,57,110,513,67,132,0,14,1,50,341,371,1108,15.0,2,1125.0
Group,2015,August,12,11,1,36,10,26,1.1666666666666667,1.4166666666666667,12,0,0,11,0,0,1,0,2,11,1,0,65.73888888888888,4,0,0,5,3,4,5,3,0,1,0,0,8,4,19,1.0,0,20.0
